iter	Passed	Remaining
468	704	797
469	705	795
470	706	793
471	707	791
472	708	789
473	709	787
474	710	785
475	711	783
476	712	781
477	713	779
478	714	777
479	715	775
480	716	773
481	718	771
482	719	769
483	720	767
484	721	765
485	722	763
486	723	761
487	724	759
488	726	758
489	727	756
490	728	754
491	729	753
492	730	751
493	731	749
494	732	747
495	733	745
496	734	743
497	735	741
498	736	739
499	737	737
500	738	735
501	739	734
502	741	732
503	742	730
504	743	728
505	744	726
506	745	724
507	746	722
508	747	720
509	748	719
510	749	717
511	750	715
512	751	713
513	752	711
514	753	709
515	755	708
516	756	706
517	757	704
518	758	703
519	759	701
520	760	699
521	761	697
522	762	695
523	763	693
524	764	691
525	765	689
526	766	687
527	767	685
528	768	684
529	769	682
530	770	680
531	772	679
532	773	677
533	774	675
534	775	673
535	776	671
536	777	669
537	777	668
538	778	666
539	779	664
540	780	662
541	781	660
542	782	658
543	784	657
544	785	655
545	786	654
546	787	652
547	788	650
548	789	648
549	790	646
550	791	645
551	792	643
552	793	641
553	794	639
554	795	637
555	796	636
556	797	634
557	798	632
558	800	631
559	801	630
560	803	628
561	804	626
562	804	624
563	806	623
564	807	621
565	808	619
566	809	617
567	810	616
568	810	614
569	812	612
570	813	610
571	814	609
572	816	608
573	817	606
574	818	604
575	819	603
576	820	601
577	821	599
578	822	598
579	823	596
580	824	594
581	825	592
582	826	591
583	827	589
584	828	587
585	830	586
586	831	584
587	832	583
588	833	581
589	834	579
590	835	577
591	836	576
592	837	574
593	838	572
594	838	571
595	839	569
596	840	567
597	841	565
598	842	564
599	844	562
600	845	561
601	847	560
602	848	558
603	849	556
604	850	555
605	851	553
606	852	551
607	853	550
608	854	548
609	855	546
610	856	545
611	857	543
612	858	542
613	860	540
614	861	539
615	862	537
616	863	536
617	864	534
618	865	532
619	867	531
620	868	529
621	869	528
622	871	527
623	872	525
624	874	524
625	875	523
626	877	521
627	878	520
628	879	518
629	880	516
630	881	515
631	883	514
632	884	512
633	885	511
634	886	509
635	888	508
636	890	507
637	891	506
638	893	504
639	894	503
640	895	501
641	896	500
642	898	498
643	899	497
644	900	495
645	901	494
646	903	492
647	906	492
648	907	490
649	909	489
650	910	487
651	911	486
652	912	484
653	913	483
654	914	481
655	915	480
656	917	478
657	920	478
658	921	476
659	922	475
660	923	473
661	924	472
662	926	470
663	927	469
664	928	467
665	929	466
666	930	464
667	932	463
668	934	462
669	935	461
670	937	459
671	938	458
672	939	456
673	940	455
674	942	453
675	943	452
676	944	450
677	945	449
678	947	447
679	948	446
680	949	444
681	950	443
682	951	441
683	952	440
684	953	438
685	954	437
686	955	435
687	956	433
688	957	432
689	959	430
690	960	429
691	961	427
692	962	426
693	963	425
694	965	423
695	966	422
696	967	420
697	968	418
698	969	417
699	970	415
700	971	414
701	972	412
702	973	411
703	974	409
704	975	408
705	976	406
706	977	405
707	978	403
708	979	402
709	981	400
710	982	399
711	983	397
712	984	396
713	985	394
714	986	393
715	987	391
716	988	390
717	989	388
718	990	387
719	991	385
720	993	384
721	994	382
722	995	381
723	996	379
724	997	378
725	998	376
726	999	375
727	1000	373
728	1001	372
729	1002	370
730	1004	369
731	1005	368
732	1006	366
733	1007	365
734	1009	363
735	1010	362
736	1011	360
737	1012	359
738	1014	358
739	1015	356
740	1017	355
741	1018	354
742	1019	352
743	1020	351
744	1021	349
745	1023	348
746	1024	347
747	1026	345
748	1028	344
749	1029	343
750	1031	341
751	1032	340
752	1035	339
753	1038	338
754	1040	337
755	1043	336
756	1044	335
757	1047	334
758	1048	333
759	1050	331
760	1053	331
761	1056	329
762	1057	328
763	1058	327
764	1060	325
765	1062	324
766	1063	322
767	1064	321
768	1066	320
769	1068	319
770	1070	317
771	1071	316
772	1074	315
773	1075	314
774	1076	312
775	1079	311
776	1080	310
777	1082	309
778	1084	307
779	1086	306
780	1087	304
781	1088	303
782	1091	302
783	1092	300
784	1093	299
785	1094	298
786	1095	296
787	1097	295
788	1098	293
789	1099	292
790	1101	290
791	1102	289
792	1103	288
793	1105	286
794	1106	285
795	1107	283
796	1108	282
797	1110	281
798	1113	280
799	1115	278
800	1116	277
801	1117	275
802	1119	274
803	1120	273
804	1121	271
805	1122	270
806	1124	268
807	1125	267
808	1127	266
809	1129	264
810	1130	263
811	1131	262
812	1132	260
813	1134	259
814	1135	257
815	1136	256
816	1137	254
817	1138	253
818	1140	251
819	1142	250
820	1143	249
821	1145	247
822	1146	246
823	1147	245
824	1148	243
825	1149	242
826	1151	240
827	1152	239
828	1153	238
829	1156	236
830	1158	235
831	1159	234
832	1161	232
833	1162	231
834	1163	229
835	1165	228
836	1166	227
837	1168	225
838	1169	224
839	1170	223
840	1172	221
841	1173	220
842	1175	218
843	1176	217
844	1177	216
845	1178	214
846	1180	213
847	1181	211
848	1182	210
849	1183	208
